points_rank,team,matches,wins,draws,losses,points,goals_for,goals_against,goal_diff,max_stage_order,avg_possession,avg_total_attempts,avg_on_target_attempts,avg_passes_completed,avg_pass_completion_rate,avg_corners,avg_completed_line_breaks,avg_forced_turnovers,avg_defensive_pressures,avg_goals_per_attempt,avg_goals_per_on_target,avg_shot_accuracy,stage_reached
15,GERMANY,3,1,1,1,4,6,5,1,1,52.666666666666664,22.333333333333332,8.0,561.6666666666666,0.8712029905015194,8.333333333333334,142.33333333333334,77.66666666666667,260.3333333333333,0.08833333333333333,0.24158249158249157,0.36791666666666667,Group Stage
16,ECUADOR,3,1,1,1,4,4,3,1,1,46.666666666666664,9.0,4.0,369.0,0.8269925562817719,3.6666666666666665,86.66666666666667,61.0,249.33333333333334,0.17841880341880342,0.37222222222222223,0.4615384615384615,Group Stage
17,CAMEROON,3,1,1,1,4,4,4,0,1,38.333333333333336,9.0,4.666666666666667,311.3333333333333,0.8008916620103061,4.0,91.0,80.0,307.3333333333333,0.12454212454212454,0.23611111111111108,0.4908424908424909,Group Stage
18,URUGUAY,3,1,1,1,4,2,2,0,1,41.0,10.666666666666666,3.3333333333333335,375.3333333333333,0.8211168689307703,2.6666666666666665,99.33333333333333,76.66666666666667,298.3333333333333,0.05555555555555555,0.09523809523809523,0.29444444444444445,Group Stage
19,TUNISIA,3,1,1,1,4,1,1,0,1,37.666666666666664,9.666666666666666,2.6666666666666665,321.3333333333333,0.7939188428462293,7.0,96.66666666666667,74.0,301.3333333333333,0.06666666666666667,0.1111111111111111,0.3328671328671329,Group Stage
20,MEXICO,3,1,1,1,4,2,3,-1,1,48.333333333333336,14.0,5.0,348.3333333333333,0.8306056162156428,5.333333333333333,101.33333333333333,72.0,249.66666666666666,0.02666666666666667,0.06666666666666667,0.31923076923076926,Group Stage
21,BELGIUM,3,1,1,1,4,1,2,-1,1,49.666666666666664,11.333333333333334,3.6666666666666665,522.6666666666666,0.8798562086058905,5.666666666666667,112.33333333333333,60.0,274.6666666666667,0.037037037037037035,0.1111111111111111,0.3333333333333333,Group Stage
22,POLAND,4,1,1,2,4,3,5,-2,2,31.75,7.75,1.75,282.25,0.794866249724668,2.75,82.25,67.5,338.5,0.08522727272727273,0.25,0.19318181818181818,Round of 16
23,KOREA REPUBLIC,4,1,1,2,4,5,8,-3,2,42.25,12.25,4.5,401.75,0.857111787959733,6.0,117.0,60.5,284.75,0.09047619047619047,0.20833333333333331,0.3464285714285714,Round of 16
24,GHANA,3,1,0,2,3,5,7,-2,1,37.666666666666664,8.333333333333334,3.3333333333333335,321.0,0.8206744689491895,4.333333333333333,88.33333333333333,83.0,299.3333333333333,0.20833333333333334,0.5555555555555555,0.39814814814814814,Group Stage
25,SAUDI ARABIA,3,1,0,2,3,3,5,-2,1,36.666666666666664,9.666666666666666,3.0,293.6666666666667,0.7523510024446353,2.6666666666666665,102.33333333333333,71.66666666666667,267.6666666666667,0.25555555555555554,0.5,0.39305555555555555,Group Stage
26,IRAN,3,1,0,2,3,4,7,-3,1,31.333333333333332,11.666666666666666,3.6666666666666665,245.0,0.7302734255835804,2.6666666666666665,79.66666666666667,73.0,329.0,0.11507936507936507,0.3333333333333333,0.33134920634920634,Group Stage
27,COSTA RICA,3,1,0,2,3,3,11,-8,1,27.666666666666668,4.0,2.3333333333333335,270.0,0.7822441532816172,0.3333333333333333,82.0,73.66666666666667,419.0,0.16666666666666666,0.4444444444444444,0.3333333333333333,Group Stage
28,DENMARK,3,0,1,2,1,1,3,-2,1,53.0,11.666666666666666,3.0,521.0,0.8778661465439864,7.0,146.66666666666666,70.33333333333333,223.0,0.03333333333333333,0.16666666666666666,0.2593073593073593,Group Stage
29,SERBIA,3,0,1,2,1,5,8,-3,1,42.666666666666664,10.333333333333334,3.3333333333333335,388.0,0.836512052714323,3.0,102.66666666666667,75.33333333333333,282.6666666666667,0.12310606060606061,0.3333333333333333,0.24621212121212122,Group Stage
30,WALES,3,0,1,2,1,1,6,-5,1,41.0,8.0,2.3333333333333335,331.6666666666667,0.800303374951932,2.0,95.66666666666667,70.0,260.3333333333333,0.047619047619047616,0.1111111111111111,0.2904761904761905,Group Stage
31,CANADA,3,0,0,3,0,2,7,-5,1,47.0,11.666666666666666,2.0,429.3333333333333,0.859229790920104,4.0,116.0,61.666666666666664,286.6666666666667,0.1037037037037037,0.16666666666666666,0.13756613756613756,Group Stage
32,QATAR,3,0,0,3,0,1,7,-6,1,40.666666666666664,7.0,2.0,376.0,0.8458672120140859,3.0,103.33333333333333,57.0,295.3333333333333,0.03333333333333333,0.16666666666666666,0.2888888888888889,Group Stage
